1	
EPOCH    TRAIN ERROR    VAL ERROR	
1    0.75795555555556    0.56079	
2    0.64139444444444    0.68525	
3    0.62543333333333    0.82394	
4    0.60732888888889    0.56965	
5    0.58930333333333    0.55101	
6    0.57184333333333    0.51127	
7    0.55597444444444    0.61477	
8    0.53853666666667    0.45236	
9    0.52308222222222    0.52779	
10    0.50877666666667    0.56363	
11    0.49471333333333    0.42975	
12    0.48227777777778    0.42744	
13    0.46885333333333    0.41008	
14    0.4589    0.4207	
15    0.44747444444444    0.38602	
16    0.43727555555556    0.33207	
17    0.42915    0.36846	
18    0.42079888888889    0.35524	
19    0.41317777777778    0.36176	
20    0.40696111111111    0.33304	
21    0.40100888888889    0.31858	
22    0.39532111111111    0.29839	
23    0.39040333333333    0.30224	
24    0.38666888888889    0.30321	
25    0.38235222222222    0.29514	
26    0.37866333333333    0.32492	
27    0.37544777777778    0.29529	
28    0.37288555555556    0.2861	
29    0.37057    0.2842	
30    0.36767555555556    0.28351	
31    0.36594222222222    0.27217	
32    0.36413777777778    0.27402	
33    0.36224111111111    0.27336	
34    0.36051111111111    0.27318	
35    0.35874444444444    0.27052	
36    0.35767888888889    0.26731	
37    0.35703888888889    0.26871	
38    0.35541444444444    0.26864	
39    0.35465444444444    0.26737	
40    0.35361888888889    0.26349	
41    0.35300333333333    0.26231	
42    0.35289777777778    0.26406	
43    0.35114111111111    0.26246	
44    0.35088111111111    0.26156	
45    0.34992888888889    0.26466	
46    0.34931    0.26048	
47    0.34907111111111    0.2615	
48    0.34908444444444    0.25958	
49    0.34817333333333    0.2596	
50    0.34800888888889    0.26038	
51    0.34730777777778    0.26005	
52    0.34759222222222    0.25991	
53    0.34760333333333    0.25829	
54    0.34677333333333    0.25942	
55    0.34699    0.25957	
56    0.34624555555556    0.25918	
57    0.34593888888889    0.25865	
58    0.34602888888889    0.25871	
59    0.34639333333333    0.25867	
60    0.34582333333333    0.25805	
61    0.34571111111111    0.258	
62    0.34586888888889    0.25823	
63    0.34570666666667    0.258	
64    0.34567333333333    0.25774	
65    0.34509888888889    0.25867	
66    0.34530222222222    0.25819	
67    0.34573111111111    0.25844	
68    0.34439777777778    0.25843	
69    0.34548888888889    0.25799	
70    0.34522    0.25789	
71    0.34513444444444    0.25829	
72    0.34490777777778    0.25804	
73    0.34502888888889    0.25807	
74    0.34485111111111    0.25819	
75    0.34507444444444    0.25834	
76    0.34452666666667    0.25813	
77    0.34528888888889    0.25764	
78    0.34472111111111    0.2581	
79    0.34480111111111    0.25782	
80    0.34430888888889    0.25797	
81    0.34514333333333    0.25785	
82    0.34428888888889    0.25796	
83    0.34483888888889    0.25793	
84    0.34454666666667    0.25781	
85    0.34443888888889    0.25775	
86    0.34478888888889    0.25799	
87    0.34468888888889    0.25786	
88    0.34437333333333    0.25785	
89    0.34467222222222    0.25767	
90    0.34454777777778    0.25767	
91    0.34452111111111    0.2577	
92    0.34421    0.25787	
93    0.34416777777778    0.25799	
94    0.34469333333333    0.25784	
95    0.34527    0.25784	
96    0.34433444444444    0.25783	
97    0.34437333333333    0.2578	
98    0.34478111111111    0.2579	
99    0.34448666666667    0.2579	
